id,date_time,total_cost,payment_status,payoff_date,issummer
1,2019/06/27,1134,paid,2019/07/02,false
2,2019/07/01,6304,paid,2019/07/02,false
3,2019/07/24,14644,paid,2019/08/05,true
4,2019/05/22,760,paid,2019/05/28,false
5,2019/10/03,4304,paid,2019/10/09,true
6,2019/03/01,1200,paid,2019/03/11,true
7,2019/11/27,640,paid,2019/12/03,true
8,2019/08/24,2112,paid,2019/09/01,true
9,2019/01/17,5902,pending,,false
10,2019/01/03,160,paid,2019/01/10,true
11,2019/05/08,741,pending,,true
12,2019/01/07,1066,pending,,false
13,2019/11/22,320,pending,,false
14,2019/09/24,1440,paid,2019/09/28,true
15,2019/06/26,240,paid,2019/07/03,true
16,2019/02/01,1344,pending,,true
17,2019/08/13,400,paid,2019/08/24,true
18,2019/12/02,5672,pending,,false
19,2019/07/04,160,pending,,true
20,2019/06/20,3293,pending,,false
